Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.30378	MAP.30358.collection		man biting indoors	man biting outdoors			2002-01/2003-05	Belize	GAZ	00002934	17.1665	-88.6027
MAP.30388	MAP.30358.collection		man biting indoors	man biting outdoors			2002-01/2003-05	Belize	GAZ	00002934	17.1665	-88.6027
MAP.5096	MAP.5096.collection		man biting				2003-04/2003-07	Peru	GAZ	00002932	-3.8272	-73.3761
MAP.15517	MAP.15517.collection		man biting				1988-09/1988-09	Venezuala	GAZ	00002931	7.5592	-71.8583
MAP.15537	MAP.15517.collection		man biting				1988-09/1988-09	Venezuala	GAZ	00002931	7.5592	-71.8583
MAP.5118	MAP.5118.collection		man biting outdoors				1983-03/1983-03	Suriname	GAZ	00002525	4.414	-54.432
MAP.39693	MAP.39693.collection		outside shelter artificial				2004-07/2004-07	United States of America	GAZ	00002459	30.6428	-96.3482
MAP.15468	MAP.15468.collection		man biting outdoors	man biting indoors			1988-12/1988-12	Mexico	GAZ	00002852	15.451	-93.168
MAP.14278	MAP.14278.collection		larval collection	resting outdoors	animal shed resting		1994-08/1994-08	United States of America	GAZ	00002459	30.841	-91.663
MAP.15307	MAP.15307.collection		larval collection				1992-04/1992-04	Grenada	GAZ	02000573	12.131	-61.741
MAP.15309	MAP.15307.collection		larval collection				1992-04/1992-04	Grenada	GAZ	02000573	12.131	-61.741
MAP.64230	MAP.64230.collection		carbon dioxide baited net trap				2005-05/2005-05	Argentina	GAZ	00002928	-22.733	-64.368
MAP.40048	MAP.40048.collection		man biting indoors	man biting outdoors	light trap	resting outdoors	1989-02/1989-02	Venezuala	GAZ	00002931	7.5592	-71.8583
MAP.15163	MAP.15163.collection		resting outdoors				1988-00/1989-00	Venezuala	GAZ	00002931	7.5592	-71.8583
MAP.15164	MAP.15163.collection		resting outdoors				1988-00/1989-00	Venezuala	GAZ	00002931	7.5592	-71.8583
MAP.64147	MAP.64147.collection		carbon dioxide baited net trap				2002-08/2002-08	Argentina	GAZ	00002928	-23.1	-64.5
MAP.12907	MAP.12907.collection		animal shed resting				1998-10/1998-10	El Salvador	GAZ	00002935	13.484	-89.25
MAP.40104	MAP.40104.collection		indoor light trap				1988-06/1988-07	Venezuala	GAZ	00002931	7.5361	-71.5622
MAP.40134	MAP.40104.collection		indoor light trap				1988-06/1988-07	Venezuala	GAZ	00002931	7.5361	-71.5622
MAP.15958	MAP.15958.collection		carbon dioxide baited net trap	man biting	larval collection		1986-06/1986-06	United States of America	GAZ	00002459	33.9	-117.625
MAP.14043	MAP.14043.collection		house resting inside	man biting indoors	outlet window trap		1989-08/1989-08	Suriname	GAZ	00002525	4.326	-54.425
MAP.14050	MAP.14043.collection		house resting inside	man biting indoors	outlet window trap		1989-08/1989-08	Suriname	GAZ	00002525	4.326	-54.425
MAP.13119	MAP.13119.collection		man biting				2001-00/2001-00	Peru	GAZ	00002932	-2.4	-73.834
MAP.13120	MAP.13119.collection		man biting				2001-00/2001-00	Peru	GAZ	00002932	-2.4	-73.834
MAP.64214	MAP.64214.collection		carbon dioxide baited net trap				2004-01/2004-01	Argentina	GAZ	00002928	-22.733	-64.368
MAP.64191	MAP.64191.collection		carbon dioxide baited net trap				2002-02/2002-02	Argentina	GAZ	00002928	-22.733	-64.368
MAP.64254	MAP.64254.collection		man biting				1997-01/1997-02	Brazil	GAZ	00002828	-10.05	-67.85
MAP.64255	MAP.64254.collection		man biting				1997-01/1997-02	Brazil	GAZ	00002828	-10.05	-67.85
MAP.14026	MAP.14026.collection							Brazil	GAZ	00002828	0.037	-51.05
MAP.32420	MAP.32420.collection		man biting outdoors	man biting indoors	larval collection		2001-01/2001-12	Brazil	GAZ	00002828	-8.7855	-63.9178
MAP.32424	MAP.32420.collection		man biting outdoors	man biting indoors	larval collection		2001-01/2001-12	Brazil	GAZ	00002828	-8.7855	-63.9178
MAP.5139	MAP.5139.collection		outlet window trap				1985-08/1985-08	Suriname	GAZ	00002525	4.414	-54.432
MAP.14668	MAP.14668.collection		larval collection				1993-08/1993-08	Belize	GAZ	00002934	18.194	-88.406
MAP.13253	MAP.13253.collection		animal baited net trap				1993-06/1993-08	United States of America	GAZ	00002459	30.363	-90.074
MAP.13775	MAP.13775.collection		man biting outdoors				1994-06/1994-08	Brazil	GAZ	00002828	-8.608	-63.61
MAP.13776	MAP.13775.collection		man biting outdoors				1994-06/1994-08	Brazil	GAZ	00002828	-8.608	-63.61
MAP.13777	MAP.13775.collection		man biting outdoors				1994-06/1994-08	Brazil	GAZ	00002828	-8.608	-63.61
MAP.14613	MAP.14613.collection		outdoor light trap				1991-11/1991-11	Mexico	GAZ	00002852	14.802	-92.508
MAP.14518	MAP.14518.collection		man biting outdoors				1994-12/1994-12	Venezuala	GAZ	00002931	10.1	-67.6
MAP.14525	MAP.14518.collection		man biting outdoors				1994-12/1994-12	Venezuala	GAZ	00002931	10.1	-67.6
MAP.15693	MAP.15693.collection		man biting indoors	man biting outdoors			1989-10/1990-03	Trinidad and Tobago	GAZ	00003767	10.601	-61.4
MAP.49689	MAP.49689.collection		animal shed resting				1995-02/1995-02	Guatemala	GAZ	00002936	14.1625	-90.8906
MAP.15860	MAP.15860.collection		man biting indoors	man biting outdoors			1988-01/1988-01	Mexico	GAZ	00002852	14.817	-92.485
MAP.30868	MAP.30868.collection		outside shelter artificial	outside shelter natural	resting outdoors		1988-08/1988-08	United States of America	GAZ	00002459	34.738	-87.815
MAP.42407	MAP.42407.collection		man biting outdoors				2000-03/2000-03	French Guiana	GAZ	00067144	3.391	-53.928
MAP.15284	MAP.15284.collection		man biting indoors	man biting outdoors	larval collection		1992-08/1992-09	Belize	GAZ	00002934	16.2333	-88.9833
MAP.14240	MAP.14240.collection		larval collection	resting outdoors	animal shed resting		1994-07/1994-07	United States of America	GAZ	00002459	32.278	-91.9167
MAP.14283	MAP.14240.collection		larval collection	resting outdoors	animal shed resting		1994-07/1994-07	United States of America	GAZ	00002459	32.278	-91.9167
